SLI9126,A. I. Gral. Fco. Javier Mina,A. I. Benito Juárez,0:42,14:18,03:00 PM CST
SLI2413,A. I. Gral. Fco. Javier Mina,A. I. Benito Juárez,0:43,14:18,03:01 PM CST
SLI2587,A. I. Gral. Fco. Javier Mina,A. I. Benito Juárez,0:40,18:19,06:59 PM CST
VOI487,A. I. Gral. Francisco J. Múgica,A. I. Gral. Abelardo L. Rodríguez,3:16,7:50,08:37AM PST
VOI487,A. I. Gral. Francisco J. Múgica,A. I. Gral. Abelardo L. Rodríguez,3:19,0:20,00:39AM PST
VOI487,A. I. Gral. Francisco J. Múgica,A. I. Gral. Abelardo L. Rodríguez,3:16,5:00,05:16AM PST
SLI861,A. I. Gral. Heriberto Jara,A. I. Benito Juárez,1:07,18:42,07:49 PM CST
VOI693,A. I. Gral. Heriberto Jara,A. I. Miguel Hidalgo y Costilla,1:24,15:51,05:15 PM CST
SLI857,A. I. Gral. Heriberto Jara,A. I. Benito Juárez,1:14,14:25,03:39 PM CST
VIV4165,A. I. Gral. Heriberto Jara,A. I. Gral. Mariano Escobedo,1:15,12:25,01:40 PM CST
VIV2105,A. I. Gral. Heriberto Jara,A. I. de Cancún,1:27,11:27,01:54 PM EST
SLI855,A. I. Gral. Heriberto Jara,A. I. Benito Juárez,1:05,10:50,11:55 AM CST
VIV3045,A. I. Gral. Heriberto Jara,A. I. Miguel Hidalgo y Costilla,1:09,8:36,09:45 AM CST
SLI2085,A. I. Gral. Heriberto Jara,A. I. Benito Juárez,1:00,8:05,09:05 AM CST
VIV1423,A. I. Gral. Heriberto Jara,A. I. Benito Juárez,0:43,7:52,08:35 AM CST
VTM384,A. I. Gral. Ignacio Pesqueira García,A. I. Gral. Abelardo L. Rodríguez,2:08, 05:33 , 06:41AM PDT
SLI8059,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,7:02, 07:31 , 03:33PM CST
SLI701,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:08, 07:31 , 10:39AM CST
VOI761,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:01, 07:45 , 10:46AM CST
VIV9094,A. I. Gral. Ignacio Pesqueira García,A. I. de Los Cabos,1:01, 07:52 , 08:53AM MST
VIV4111,A. I. Gral. Ignacio Pesqueira García,A. I. Gral. Mariano Escobedo,1:29, 08:11 , 10:40AM CST
VOI741,A. I. Gral. Ignacio Pesqueira García,A. I. Miguel Hidalgo y Costilla,1:39, 09:24 , 12:03PM CST
VOI501,A. I. Gral. Ignacio Pesqueira García,A. I. Gral. Abelardo L. Rodríguez,2:10, 09:49 , 11:00AM PDT
AMX7975,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:05, 09:57 , 01:02PM CST
AMX705,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:05, 09:57 , 01:02PM CST
XC-LPO,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,3:29, 10:37 , 03:06PM CST
VIV3179,A. I. Gral. Ignacio Pesqueira García,A. I. Miguel Hidalgo y Costilla,1:39, 11:57 , 02:36PM CST
VOI599,A. I. Gral. Ignacio Pesqueira García,A. I. Miguel Hidalgo y Costilla,1:41, 12:15 , 02:56PM CST
AMX715,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:06, 12:27 , 03:33PM CST
AMX731,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:08, 17:16 , 08:24PM CST
N40SS,A. I. Gral. Ignacio Pesqueira García,A. I. Gral. Rodolfo Sánchez Taboada,3:03, 19:05 , 09:08PM PDT
VIV1329,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:05, 20:00 , 11:05PM CST
VOI763,A. I. Gral. Ignacio Pesqueira García,A. I. Benito Juárez,2:04, 20:48 , 11:52PM CST
ESF321,A. I. Gral. Ignacio Pesqueira García,A. I. Federal de Culiacán,0:54, 20:52 , 09:46PM MST
VOI503,A. I. Gral. Ignacio Pesqueira García,A. I. Gral. Abelardo L. Rodríguez,2:10,21:28 , 10:38PM PDT
VOI531,A. I. Gral. Juan N. Álvarez,A. I. Gral. Abelardo L. Rodríguez,2:26,6:08,08:34AM PDT
